node	value
n641641	unresolved
n642	unresolved
n644	unresolved
n645	unresolved
n646	unresolved
n648648	unresolved
n649649	unresolved
n654654	unresolved
n657657	unresolved
n659	unresolved
n663	unresolved
n666	unresolved
n666666	unresolved
n667	unresolved
n668	unresolved
n668668	unresolved
n669669	unresolved
n675	unresolved
n676	unresolved
n680680	unresolved
n685	unresolved
n686	unresolved
n686686	unresolved
n689689	unresolved
n691	unresolved
n696	unresolved
n697697	unresolved
n699	unresolved
n704	unresolved
n704704	unresolved
n705	unresolved
n720720	unresolved
n724	unresolved
n729729	unresolved
n730730	unresolved
n733	unresolved
n734734	unresolved
n741	unresolved
n743	unresolved
n743743	unresolved
n746746	unresolved
n748	unresolved
n753	unresolved
n756756	unresolved
n757	unresolved
n761	unresolved
n762	unresolved
n762762	unresolved
n764764	unresolved
n765765	unresolved
n766766	unresolved
n771	unresolved
n771771	unresolved
n772	unresolved
n779	unresolved
n781781	unresolved
n783	unresolved
n783783	unresolved
n788	unresolved
n793	unresolved
n797797	unresolved
n808808	unresolved
n811	unresolved
n814	unresolved
n819819	unresolved
n826826	unresolved
n828828	unresolved
n834834	unresolved
n839839	unresolved
n840	unresolved
n840840	unresolved
n841	unresolved
n842	unresolved
n850	unresolved
n854	unresolved
n855	unresolved
n857	unresolved
n858	unresolved
n861	unresolved
n861861	unresolved
n863	unresolved
n866	unresolved
n871	unresolved
n877877	unresolved
n878	unresolved
n885	unresolved
n891	unresolved
n898	unresolved
n908	unresolved
n916916	unresolved
n927927	unresolved
n936936	unresolved
n939	unresolved
n947947	unresolved
n948	unresolved
n948948	unresolved
n954954	unresolved
n964	unresolved
n965965	unresolved
n966966	unresolved
n969969	unresolved
n970970	unresolved
n971971	unresolved
n972	unresolved
n972972	unresolved
n973973	unresolved
n974	unresolved
n974974	unresolved
n975	unresolved
n977	unresolved
n981981	unresolved
n982	unresolved
n987	unresolved
n991	unresolved
n996	unresolved
n1008	unresolved
n10091009	unresolved
n10111011	unresolved
n1019	unresolved
n10351035	unresolved
n10441044	unresolved
n1045	unresolved
n10451045	unresolved
n1047	unresolved
n1056	unresolved
n10571057	unresolved
n10581058	unresolved
n1070	unresolved
n1071	unresolved
n1076	unresolved
n10831083	unresolved
n1084	unresolved
n10841084	unresolved
n1085	unresolved
n10851085	unresolved
n1088	unresolved
n10891089	unresolved
n1091	unresolved
n1102	unresolved
n11041104	unresolved
n11061106	unresolved
n11091109	unresolved
n1110	unresolved
n11101110	unresolved
n1112	unresolved
n1126	unresolved
n11261126	unresolved
n11331133	unresolved
n11461146	unresolved
n11651165	unresolved
n1172	unresolved
n11751175	unresolved
n1187	unresolved
n11891189	unresolved
n11941194	unresolved
n11971197	unresolved
n11981198	unresolved
n1199	unresolved
n1204	unresolved
n1215	unresolved
n12151215	unresolved
n1220	unresolved
n12251225	unresolved
n1232	unresolved
n12351235	unresolved
n12361236	unresolved
n1239	unresolved
n12391239	unresolved
n1240	unresolved
n1241	unresolved
n12431243	unresolved
n1246	unresolved
n12471247	unresolved
n12481248	unresolved
n1253	unresolved
n1255	unresolved
n1263	unresolved
n12641264	unresolved
n1265	unresolved
n1267	unresolved
n1268	unresolved
n12681268	unresolved
n1269	unresolved
n1272	unresolved
n12781278	unresolved
n12791279	unresolved
n12851285	unresolved
n12891289	unresolved
n1290	unresolved
n12921292	unresolved
n1293	unresolved
n12931293	unresolved
n1294	unresolved
n12941294	unresolved
n13001300	unresolved
n1302	unresolved
n13051305	unresolved
n13071307	unresolved
n13081308	unresolved
n1322	unresolved
n13221322	unresolved
n1323	unresolved
n1324	unresolved
n1326	unresolved
n1327	unresolved
n13301330	unresolved
n1331	unresolved
n13371337	unresolved
n1338	unresolved
n1340	unresolved
n13431343	unresolved
n1344	unresolved
n1346	unresolved
n13481348	unresolved
n13491349	unresolved
n1352	unresolved
n13521352	unresolved
n13531353	unresolved
n1355	unresolved
n13551355	unresolved
n1356	unresolved
n13561356	unresolved
n1357	unresolved
n13571357	unresolved
n1389	unresolved
n13891389	unresolved
n1404	unresolved
n1408	unresolved
n1410	unresolved
n1416	unresolved
n1417	unresolved
n14171417	unresolved
n14221422	unresolved
n1423	unresolved
n14281428	unresolved
n14311431	unresolved
n14331433	unresolved
n14401440	unresolved
n1441	unresolved
n14411441	unresolved
n14491449	unresolved
n1451	unresolved
n14511451	unresolved
n14531453	unresolved
n14541454	unresolved
n1455	unresolved
n14551455	unresolved
n14591459	unresolved
n1460	unresolved
n14601460	unresolved
n1462	unresolved
n14621462	unresolved
n1463	unresolved
n1474	unresolved
n1475	unresolved
n14781478	unresolved
n1480	unresolved
n14811481	unresolved
n14841484	unresolved
n1486	unresolved
n14911491	unresolved
n14941494	unresolved
n14951495	unresolved
n15001500	unresolved
n15031503	unresolved
n15071507	unresolved
n1508	unresolved
n15081508	unresolved
n1511	unresolved
n15111511	unresolved
n1517	unresolved
n1518	unresolved
n15181518	unresolved
n1522	unresolved
n1523	unresolved
n15231523	unresolved
n15261526	unresolved
n1527	unresolved
n15271527	unresolved
n1528	unresolved
n15301530	unresolved
n1533	unresolved
n1534	unresolved
n15351535	unresolved
n15401540	unresolved
n15431543	unresolved
n15441544	unresolved
n1545	unresolved
n1549	unresolved
n15501550	unresolved
n1551	unresolved
n15551555	unresolved
n15581558	unresolved
n1561	unresolved
n1565	unresolved
n15651565	unresolved
n15661566	unresolved
n1567	unresolved
n15671567	unresolved
n1571	unresolved
n15721572	unresolved
n1575	unresolved
n15761576	unresolved
n1577	unresolved
n15771577	unresolved
n1578	unresolved
n15781578	unresolved
n1579	unresolved
n15791579	unresolved
n1580	unresolved
n15801580	unresolved
n1581	unresolved
n15811581	unresolved
n15881588	unresolved
n1589	unresolved
n15891589	unresolved
n1591	unresolved
n15911591	unresolved
n15931593	unresolved
n1596	unresolved
n15961596	unresolved
n1598	unresolved
n16011601	unresolved
n1603	unresolved
n16041604	unresolved
n1605	unresolved
n16051605	unresolved
n1612	unresolved
n16121612	unresolved
n16131613	unresolved
n1614	unresolved
n1619	unresolved
n1621	unresolved
n1623	unresolved
n16241624	unresolved
n16271627	unresolved
n1629	unresolved
n16291629	unresolved
n1632	unresolved
n16321632	unresolved
n1633	unresolved
n16331633	unresolved
n16341634	unresolved
n16361636	unresolved
n1637	unresolved
n16371637	unresolved
n16381638	unresolved
n16401640	unresolved
n1642	unresolved
n16421642	unresolved
n1643	unresolved
n16431643	unresolved
n1645	unresolved
n16451645	unresolved
n1646	unresolved
n16461646	unresolved
n1647	unresolved
n16531653	unresolved
n1662	unresolved
n1663	unresolved
n1674	unresolved
n16741674	unresolved
n1685	unresolved
n1689	unresolved
n1690	unresolved
n1691	unresolved
n16981698	unresolved
n17081708	unresolved
n1712	unresolved
n17121712	unresolved
n1713	unresolved
n1715	unresolved
n17211721	unresolved
n1724	unresolved
n1729	unresolved
n1741	unresolved
n1743	unresolved
n1759	unresolved
n17741774	unresolved
n17791779	unresolved
n1785	unresolved
n1786	unresolved
n1787	unresolved
n1789	unresolved
n17971797	unresolved
n18001800	unresolved
n1802	unresolved
n1822	unresolved
n18261826	unresolved
n1832	unresolved
n1858	unresolved
n1859	unresolved
n18721872	unresolved
n1884	unresolved
n18841884	unresolved
n18871887	unresolved
n1888	unresolved
n1889	unresolved
n19001900	unresolved
n19211921	unresolved
n1922	unresolved
n19231923	unresolved
n19251925	unresolved
n19261926	unresolved
n1932	unresolved
n19321932	unresolved
n19331933	unresolved
n19341934	unresolved
n1935	unresolved
n1942	unresolved
n19451945	unresolved
n1946	unresolved
n19471947	unresolved
n1948	unresolved
n19491949	unresolved
n1950	unresolved
n19501950	unresolved
n19511951	unresolved
n1958	unresolved
n1964	unresolved
n19671967	unresolved
n19691969	unresolved
n1973	unresolved
n1975	unresolved
n19761976	unresolved
n19841984	unresolved
n19851985	unresolved
n19901990	unresolved
n19931993	unresolved
n19951995	unresolved
n19971997	unresolved
n19991999	unresolved
n2000	unresolved
n2003	unresolved
n20032003	unresolved
n20052005	unresolved
n20072007	unresolved
n2009	unresolved
n20092009	unresolved
n2010	unresolved
n2019	unresolved
n20192019	unresolved
n20202020	unresolved
n2025	unresolved
n20252025	unresolved
n2026	unresolved
n2027	unresolved
n2048	unresolved
n2094	unresolved
n2112	unresolved
n21152115	unresolved
n2116	unresolved
n2119	unresolved
n21192119	unresolved
n21262126	unresolved
n2127	unresolved
n21502150	unresolved
n2151	unresolved
n21662166	unresolved
n21752175	unresolved
n2178	unresolved
n21782178	unresolved
n21852185	unresolved
n2201	unresolved
n22052205	unresolved
n2211	unresolved
n2212	unresolved
n22292229	unresolved
n22522252	unresolved
n22572257	unresolved
n22582258	unresolved
n2260	unresolved
n2266	unresolved
n2272	unresolved
n22742274	unresolved
n2292	unresolved
n23012301	unresolved
n23052305	unresolved
n2313	unresolved
n2318	unresolved
n23182318	unresolved
n2320	unresolved
n23272327	unresolved
n2336	unresolved
n23362336	unresolved
n23412341	unresolved
n2342	unresolved
n23432343	unresolved
n2345	unresolved
n23462346	unresolved
n2349	unresolved
n2350	unresolved
n2352	unresolved
n23582358	unresolved
n2363	unresolved
n23632363	unresolved
n23642364	unresolved
n2366	unresolved
n2372	unresolved
n2376	unresolved
n23772377	unresolved
n2381	unresolved
n2384	unresolved
n23842384	unresolved
n2387	unresolved
n2390	unresolved
n23942394	unresolved
HM852154	Slovenia
HM852177	Slovenia
MG458310	Serbia
KP723635	UnitedArabEmirates
HM543738	Norway
KX148232	Coted'Ivoire
FJ545676	Coted'Ivoire
EU853618	Coted'Ivoire
EU853619	Coted'Ivoire
KX148233	Coted'Ivoire
EU853617	Coted'Ivoire
EU853616	Coted'Ivoire
FJ545684	Coted'Ivoire
FJ545659	Coted'Ivoire
EU853615	Coted'Ivoire
FJ545681	Coted'Ivoire
GU815997	Coted'Ivoire
KX148235	Coted'Ivoire
EU853621	Coted'Ivoire
FJ545677	Coted'Ivoire
KU055562	Coted'Ivoire
n2	USA
n22	USA
n33	USA
n4	USA
n2021	China
n20212021	China
n2022	China
n20222022	China
n455	Zambia
n455455	Zambia
n456	Zambia
n456456	Zambia
n1086	India
n10861086	India
n1087	India
n10871087	India
n457	Zambia
n2023	China
n1283	Canada
n12831283	Canada
n16471647	Philippines
n1284	Canada
n1648	Philippines
n1509	Nigeria
n12841284	Greenland
n2024	China
n15091509	Nigeria
n16481648	Philippines
n1649	Philippines
n16491649	Philippines
n1285	Greenland
n457457	Zambia
n1286	Greenland
n1650	Philippines
n458	SouthAfrica
n458458	SouthAfrica
n2176	China
n899	USA
n16501650	Philippines
n899899	USA
n900900	USA
n20242024	China
n582582	Zambia
n1921	Thailand
n100	Poland
n172	Russia
n172172	Russia
n12	BosniaandHerzegovina
n19221922	Thailand
n100100	Poland
n1212	BosniaandHerzegovina
n1923	Thailand
n583	Zambia
n901	Mexico
n583583	Zambia
n459	SouthAfrica
n1798	China
n1651	Philippines
n101	Poland
n17981798	China
n16511651	Philippines
n1510	Nigeria
n1652	Philippines
n311311	Iraq
n705705	Sudan
n706	Sudan
n312	Iran
n1924	Thailand
n13	BosniaandHerzegovina
n15101510	Nigeria
n1169	Pakistan
n12861286	Canada
n19241924	Thailand
n10881088	India
n21762176	China
n1925	Thailand
n173173	Russia
n11691169	Pakistan
n16521652	Philippines
n20262026	China
n1799	China
n15631563	Mauritania
n2177	China
n1564	Mauritania
n706706	Sudan
n1926	Cambodia
n707	Ethiopia
n1089	India
n707707	Ethiopia
n584	Zambia
n708	Ethiopia
n708708	Ethiopia
n1287	Canada
n709	Ethiopia
n12871287	Canada
n174	Russia
n1288	Canada
n1653	Philippines
n709709	Ethiopia
n14	BosniaandHerzegovina
n710	Ethiopia
n710710	Ethiopia
n1512	Nigeria
n12881288	Canada
n15121512	Nigeria
n1170	Pakistan
n1289	Canada
n711	Ethiopia
n1927	Cambodia
n901901	Mexico
n460	Namibia
n59	Serbia
n785785	USA
n847	Brazil
n11701170	Pakistan
n847847	Brazil
n902	Mexico
n1513	Nigeria
n313313	Iran
n1171	Pakistan
n19271927	Cambodia
n14631463	SouthKorea
n174174	Russia
n101101	Romania
n20272027	China
n515	SouthAfrica
n515515	SouthAfrica
n763	Gabon
n1874	Taiwan
n5959	Serbia
n128	Estonia
n1464	SouthKorea
n14641464	SouthKorea
n15131513	Nigeria
n17991799	China
n128128	Estonia
n15641564	Mauritania
n21142114	China
n763763	Cameroon
n516	SouthAfrica
n12901290	Canada
n560	Zambia
n16541654	Philippines
n560560	CentralAfricanRepublic
n968	Mexico
n129	Estonia
n17191719	Philippines
n129129	Estonia
n968968	USA
n18741874	Taiwan
n175175	Mongolia
n1720	Philippines
n1875	Taiwan
n419	Iraq
n969	USA
n275275	Romania
n102	Romania
n1514	Nigeria
n2214	China
n492492	SouthAfrica
n848	Brazil
n15141514	Nigeria
n10901090	India
n17201720	Philippines
n586	Tanzania
n1291	Canada
n1801	China
n460460	SouthAfrica
n18751875	Taiwan
n12911291	Canada
n239	Russia
n1721	Philippines
n1876	Taiwan
n2337	SriLanka
n23372337	SriLanka
n1292	Canada
n902902	Cuba
n561	CentralAfricanRepublic
n561561	CentralAfricanRepublic
n587	Tanzania
n2338	SriLanka
n103	Romania
n587587	Tanzania
n978978	USA
n645645	Tanzania
n786	USA
n461	SouthAfrica
n562	CentralAfricanRepublic
n646646	Tanzania
n786786	USA
n903	Cuba
n10391039	SouthAfrica
n11491149	India
n1040	SouthAfrica
n23382338	SriLanka
n11711171	India
n130	Estonia
n60	Serbia
n589	Tanzania
n2339	SriLanka
n15151515	Nigeria
n903903	Cuba
n18761876	Taiwan
n1928	Cambodia
n15	Slovenia
n6060	Serbia
n314	SaudiArabia
n1116	India
n18301830	China
n276	Romania
n647	Tanzania
n336336	Iran
n516516	SouthAfrica
n979	USA
n61	Serbia
n276276	Russia
n517	SouthAfrica
n1465	SouthKorea
n1613	Niger
n1358	Greenland
n2323	Italy
n421	Turkey
n11501150	India
n12691269	Nepal
n1516	Nigeria
n277	Russia
n517517	SouthAfrica
n827827	France
n1270	Nepal
n14651465	SouthKorea
n6161	Serbia
n764	Cameroon
n493493	SouthAfrica
n848848	Brazil
n372	Israel
n518	SouthAfrica
n765	Tanzania
n10401040	SouthAfrica
n979979	USA
n12701270	Nepal
n485	Namibia
n904	Cuba
n1566	Mauritania
n11161116	India
n62	Serbia
n485485	Namibia
n647647	Tanzania
n15161516	Nigeria
n337	Iran
n401	Turkey
n1466	SouthKorea
n1857	China
n462	SouthAfrica
n681	Zambia
n13581358	Canada
n14661466	SouthKorea
n16551655	Philippines
n828	France
n944	Mexico
n1198	Pakistan
n337337	Iran
n518518	SouthAfrica
n648	Kenya
n1467	SouthKorea
n1590	Mauritania
n19281928	Cambodia
n711711	Ethiopia
n1550	Chad
n23392339	SriLanka
n494	SouthAfrica
n1929	Cambodia
n277277	Russia
n372372	Israel
n849	Brazil
n944944	Mexico
n2259	China
n278	Russia
n1041	SouthAfrica
n14671467	SouthKorea
n875	Brazil
n494494	SouthAfrica
n904904	Cuba
n1271	Nepal
n829829	Canada
n905	Cuba
n13591359	Canada
n240240	Ukraine
n830	CzechRepublic
n17771777	Philippines
n1877	Taiwan
n83	Serbia
n103103	Romania
n401401	Turkey
n875875	Brazil
n1173	India
n11991199	India
n15511551	Chad
n4444	Poland
n8383	Serbia
n535535	SouthAfrica
n649	Kenya
n23162316	Indonesia
n278278	Russia
n462462	SouthAfrica
n619	Tanzania
n787	USA
n1360	Canada
n787787	USA
n831	CzechRepublic
n13601360	Canada
n316	Oman
n681681	Zambia
n831831	CzechRepublic
n1701	Philippines
n2375	India
n1515	Slovenia
n114114	Hungary
n338338	Iran
n589589	Tanzania
n12001200	India
n12461246	Afghanistan
n463	Zambia
n747	Morocco
n807807	USA
n832	CzechRepublic
n980980	USA
n10411041	SouthAfrica
n519	SouthAfrica
n747747	Morocco
n775775	Ghana
n876	Brazil
n339	Iran
n905905	Cuba
n1042	SouthAfrica
n1778	Philippines
n487	Namibia
n12311231	Bhutan
n23752375	India
n84	Serbia
n876876	Brazil
n11731173	India
n15901590	Mauritania
n373	Israel
n536536	Zimbabwe
n602	Tanzania
n788788	USA
n872	Brazil
n155	Poland
n241	Ukraine
n12021202	India
n16141614	BurkinaFaso
n18771877	Taiwan
n590	Tanzania
n837	Peru
n877	Brazil
n945945	Mexico
n1552	Chad
n1753	Philippines
n186	Mongolia
n946	Mexico
n13291329	Canada
n15521552	Chad
n16621662	Philippines
n17651765	Philippines
n2301	China
n186186	Mongolia
n837837	Peru
n946946	Mexico
n1553	CentralAfricanRepublic
n1634	Cameroon
n1766	Philippines
n2340	SriLanka
n838	Peru
n2121	Italy
n8484	Slovenia
n872872	Brazil
n16731673	Philippines
n17011701	Philippines
n23402340	SriLanka
n712	Ethiopia
n839	Peru
n12711271	Nepal
n1635	Cameroon
n294294	Romania
n317317	Oman
n712712	Ethiopia
n13611361	Canada
n16351635	CentralAfricanRepublic
n2275	China
n295	Romania
n591	Tanzania
n696696	Madagascar
n808	USA
n697	Madagascar
n13461346	Canada
n1592	Senegal
n94	Serbia
n225	Russia
n650	Tanzania
n906	Cuba
n1482	SouthKorea
n15531553	CentralAfricanRepublic
n1722	Philippines
n17661766	Philippines
n1890	Taiwan
n789	USA
n11861186	India
n15171517	Nigeria
n1767	Philippines
n1951	Thailand
n23022302	China
n402	Turkey
n421421	Russia
n713	Ethiopia
n730	Tanzania
n789789	USA
n849849	Brazil
n10251025	Egypt
n1468	SouthKorea
n1615	BurkinaFaso
n1702	Philippines
n2341	SriLanka
n115	Hungary
n120	Romania
n198198	Mongolia
n267267	Tajikistan
n14231423	Russia
n14681468	SouthKorea
n14821482	SouthKorea
n15921592	Senegal
n104	Romania
n1026	Egypt
n12241224	Pakistan
n1330	Canada
n13471347	Canada
n1554	CentralAfricanRepublic
n1593	Senegal
n16911691	Philippines
n120120	Romania
n155155	Ukraine
n254254	Russia
n682	Zambia
n1014	USA
n13621362	Canada
n1692	Philippines
n17781778	Philippines
n2317	Indonesia
n85	Croatia
n115115	Hungary
n557557	Namibia
n748748	Algeria
n947	Mexico
n1072	SouthAfrica
n1138	India
n199199	Russia
n650650	Tanzania
n715715	Ethiopia
n749	Algeria
n776	Ghana
n10261026	Egypt
n10721072	SouthAfrica
n12631263	Pakistan
n1483	SouthKorea
n17671767	Philippines
n45	Poland
n558	Namibia
n577577	CentralAfricanRepublic
n651	Tanzania
n682682	Zambia
n850850	Brazil
n973	USA
n10141014	USA
n1247	Afghanistan
n1264	Pakistan
n1536	Nigeria
n23762376	India
n405	Turkey
n448	Grenada
n737737	Sudan
n906906	Cuba
n10421042	SouthAfrica
n1363	Canada
n1442	Canada
n19131913	Taiwan
n1943	Cambodia
n2120	China
n4545	Poland
n176176	Mongolia
n373373	Israel
n402402	Turkey
n448448	Grenada
n487487	Namibia
n578	CentralAfricanRepublic
n717717	Ethiopia
n731	Tanzania
n738	Sudan
n749749	Tunisia
n1003	USA
n1043	SouthAfrica
n10521052	SouthAfrica
n1257	Afghanistan
n15361536	Cameroon
n1624	Niger
n17531753	Philippines
n1902	Taiwan
n19291929	Cambodia
n1996	Laos
n2327	China
n268	Tajikistan
n403	Israel
n449	Grenada
n558558	DemocraticRepublicoftheCongo
n602602	Tanzania
n607607	Tanzania
n790	USA
n859859	Brazil
n878878	Brazil
n1106	India
n1433	Greenland
n1693	Philippines
n1754	Philippines
n2377	India
n30	Italy
n6969	Serbia
n121	Romania
n156	Romania
n225225	Russia
n405405	Turkey
n578578	CentralAfricanRepublic
n603	Tanzania
n750	Tunisia
n766	Cameroon
n1027	Egypt
n1073	SouthAfrica
n12321232	Bhutan
n1295	Canada
n13901390	Canada
n14721472	SouthKorea
n14871487	SouthKorea
n1914	Taiwan
n70	Serbia
n753753	Morocco
n809	USA
n851	Brazil
n1118	India
n1233	Bhutan
n14121412	USA
n1469	SouthKorea
n1519	Nigeria
n15451545	Chad
n1606	Mauritania
n19781978	VietNam
n50	Poland
n109109	Ukraine
n255255	Russia
n304304	Serbia
n424424	Georgia
n636636	Zambia
n790790	USA
n851851	Brazil
n907	Cuba
n928928	Cuba
n949	Mexico
n1015	USA
n1053	SouthAfrica
n17321732	Philippines
n17541754	Philippines
n17591759	Philippines
n17841784	Philippines
n18901890	Taiwan
n19431943	Cambodia
n1979	VietNam
n110	Ukraine
n208208	Russia
n268268	Tajikistan
n437	Iraq
n713713	Ethiopia
n716	Ethiopia
n740	Tunisia
n791	Canada
n955	Mexico
n10031003	USA
n1391	Canada
n14691469	SouthKorea
n1473	SouthKorea
n14831483	SouthKorea
n1537	Nigeria
n17131713	Philippines
n1755	Philippines
n19581958	Thailand
n2224	VietNam
n2360	SriLanka
n226	Russia
n269	Azerbaijan
n329	SaudiArabia
n504504	SouthAfrica
n551	Zimbabwe
n608	Tanzania
n660	Tanzania
n731731	Tanzania
n750750	Tunisia
n809809	USA
n10271027	Egypt
n10531053	SouthAfrica
n13631363	Canada
n1403	Canada
n14251425	Canada
n14731473	SouthKorea
n15371537	Nigeria
n15591559	Nigeria
n16061606	Mauritania
n1740	Philippines
n1977	Thailand
n2166	China
n23422342	SriLanka
n2396	Nepal
n1717	Slovenia
n46	Poland
n5050	Poland
n7070	Serbia
n269269	Azerbaijan
n289289	Russia
n296296	Hungary
n365	Iran
n449449	Grenada
n637	Zambia
n852	Brazil
n10431043	SouthAfrica
n1054	SouthAfrica
n14571457	USA
n1484	SouthKorea
n1607	Mali
n16151615	BurkinaFaso
n17551755	Philippines
n1760	Philippines
n1878	Taiwan
n19141914	Taiwan
n1966	Cambodia
n19791979	VietNam
n20652065	China
n23962396	Nepal
n24	Italy
n143143	Latvia
n220220	Russia
n246	Ukraine
n437437	Iraq
n496496	SouthAfrica
n545545	SouthAfrica
n629	Uganda
n677677	Uganda
n693	Zambia
n777	Cameroon
n10151015	USA
n10541054	SouthAfrica
n10731073	Zimbabwe
n11311131	India
n1496	China
n15291529	Nigeria
n1639	Senegal
n1944	Cambodia
n1952	Thailand
n1959	Thailand
n19631963	Cambodia
n19661966	Cambodia
n23202320	Indonesia
n23882388	India
n1818	Slovenia
n121121	Poland
n164	Poland
n187	Mongolia
n226226	Russia
n380380	Israel
n406	Turkey
n425	Georgia
n530	SouthAfrica
n551551	Zimbabwe
n622	Tanzania
n637637	Zambia
n660660	Tanzania
n754	Morocco
n769769	Tanzania
n817	USA
n821821	USA
n852852	Brazil
n860	Brazil
n866866	Brazil
n914914	Cuba
n962962	Mexico
n1016	USA
n1132	India
n12731273	Nepal
n1365	Canada
n1492	SouthKorea
n16391639	Senegal
n17141714	Philippines
n17401740	Philippines
n1897	Taiwan
n19021902	Taiwan
n1915	Taiwan
n20002000	Thailand
n25	Slovenia
n39	France
n51	Poland
n116116	Hungary
n122	Poland
n156156	Romania
n182182	Russia
n193	Mongolia
n195195	Mongolia
n329329	SaudiArabia
n383383	Israel
n388388	Iran
n406406	Turkey
n415	Turkey
n438	Iraq
n631	Zambia
n651651	Tanzania
n678	Uganda
n693693	Zambia
n714	Ethiopia
n740740	Tunisia
n887	Brazil
n907907	Cuba
n915	Cuba
