Host,host_simple
Histiotus macrotus,NA
Myotis nigricans,NA
Molossus molossus,NA
Eptesicus furinalis,NA
Lasiurus blossevillii,NA
Eumops glaucinus,NA
Histiotus macrotus,bat
Myotis chiloensis,bat
Cervidae,NA
Diphylla ecaudata,bat
Camelus bactrianus,Camelidae
Otocolobus manul,Felidae
Myotis thysanodes,bat
Molossops neglectus,bat
Myotis riparius,bat
Felis nigripes,Felidae
Genetta genetta,Viverridae
Tadarida brasiliensis mexicana,bat
Fratercula corniculata,NA
Cynomops,bat
Molossidae,bat
Ursus sp.,Ursidae
Artibeus,NA
Artibeus fimbriatus,NA
Artibeus planirostris,NA
Dusicyon,NA
Camelus dromedarius,Camelidae
Mustela putorius furo,Mustelidae
Cynomops abrasus,NA
Eumops auripendulus,NA
Nyctinomops laticaudatus,NA
Cervus nippon,Cervidae
Cerdocyon thous,NA
Lycalopex vetulus,NA
Panthera pardus,Felidae
Ichneumia albicauda,Herpestidae
Camelus,NA
Canis mesomelas,NA
Eptesicus fuscus,NA
Lama glama,Camelidae
Crocuta crocuta,Hyaenidae
Otocyon megalotis,NA
Vulpes chama,Canidae
Lynx,NA
Eumops perotis,NA
Diphylla ecaudata,NA
Martes foina,Mustelidae
Vulpes corsac,NA
Felis sp.,NA
Myotis daubentonii,NA
Plecotus auritus,NA
marmosets,NA
Meles meles,NA
Tadarida brasiliensis mexicana,NA
Lasiurus sp.,NA
Procyon cancrivorus,NA
Callithrix jacchus,NA
Lasionycteris noctivagans,NA
Myotis sp.,NA
Nyctinomops macrotis,NA
Tragelaphus,Bovidae
Tragelaphus oryx,Bovidae
Genetta,Viverridae
Marmotini,Sciuridae
Equus asinus,NA
Molossus rufus,NA
Lynx rufus,NA
Bovidae,Bovidae
Canis simensis,NA
Urocitellus undulatus,NA
Genetta genetta,NA
Marmotini,NA
Vulpes chama,NA
Puma concolor,NA
Spilogale putorius,NA
Cuniculus paca,NA
Eumops patagonicus,NA
Histiotus montanus,NA
Myotis,NA
Genetta,NA
Cephalophinae,NA
Felis silvestris,NA
Viverridae,NA
Panthera tigris,NA
Gallus gallus,NA
Antrozous pallidus,NA
Corynorhinus townsendii,NA
Myotis californicus,NA
Parastrellus hesperus,NA
Euderma maculatum,NA
Myotis velifer,NA
Myotis lucifugus,NA
Myotis yumanensis,NA
Dasypterus intermedius,NA
Nycticeius humeralis,NA
Elephas maximus,NA
Cynictis penicillata,NA
Histiotus,NA
Myotis evotis,NA
Perimyotis subflavus,NA
Myotis austroriparius,NA
Felidae,NA
Galerella sanguinea,NA
Suricata suricatta,NA
Civettictis civetta,NA
Mellivora capensis,NA
Crocuta crocuta,NA
Ichneumia albicauda,NA
Vulpes,NA
Lycaon pictus,NA
Cervus nippon,NA
Bovidae,NA
